[08-Feb-2017 12:18:13 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:18:31 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:18:36 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:20:05 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:20:10 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:20:41 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:20:41 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:20:45 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:20:50 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:21:21 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:21:21 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:21:26 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:21:30 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:22:06 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:22:07 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:22:22 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:22:22 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:25:36 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:25:36 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:25:36 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:25:37 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:25:39 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:25:43 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:26:25 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
